date,Canvas,Alison,Coursera,European Schoolnet Academy,EdX,iCourse,Future Learn,Icourses,TED-Ed Earth School,Udemy,XuetangX
12/1/2019,47,2,4,0,2,0,0,0,0,10,0
12/8/2019,44,2,4,0,2,0,<1,0,0,8,0
12/15/2019,28,2,4,0,2,0,0,0,0,8,0
12/22/2019,8,1,4,0,2,0,0,0,0,7,0
12/29/2019,10,2,4,0,2,0,<1,0,0,9,0
1/5/2020,30,2,5,0,2,0,0,0,0,11,0
1/12/2020,40,2,6,0,3,0,<1,0,0,9,0
1/19/2020,43,2,5,0,3,0,<1,0,0,9,0
1/26/2020,46,2,5,0,3,0,<1,0,0,9,0
2/2/2020,45,2,5,0,3,0,<1,0,0,9,0
2/9/2020,45,2,5,0,3,0,0,0,0,9,0
2/16/2020,45,2,5,0,3,0,<1,0,0,9,0
2/23/2020,49,2,5,0,3,0,<1,0,0,8,0
3/1/2020,43,2,5,0,2,0,<1,0,0,9,0
3/8/2020,41,2,5,0,2,0,<1,0,0,8,0
3/15/2020,53,2,10,0,4,0,<1,0,0,20,0
3/22/2020,65,3,14,0,6,0,<1,0,0,21,0
3/29/2020,66,4,17,0,7,0,1,0,0,19,0
4/5/2020,61,4,19,0,6,0,1,0,0,19,0
4/12/2020,61,4,20,0,10,0,1,0,0,20,0
4/19/2020,58,4,17,0,9,0,1,0,0,20,0
4/26/2020,54,4,17,0,7,0,1,0,0,18,0
5/3/2020,52,4,16,0,7,0,1,0,0,17,0
5/10/2020,48,3,15,0,6,0,1,0,0,19,0
5/17/2020,40,3,14,0,5,0,<1,0,0,16,0
5/24/2020,34,3,14,0,5,0,<1,0,0,15,0
5/31/2020,33,3,14,0,5,0,1,0,0,15,0
6/7/2020,28,3,15,0,5,0,1,0,0,15,0
6/14/2020,26,3,14,0,5,0,1,0,0,15,0
6/21/2020,27,3,15,0,5,0,1,0,0,15,0
6/28/2020,23,3,15,0,6,0,1,0,0,16,0
7/5/2020,23,3,16,0,5,0,<1,0,0,16,0
7/12/2020,24,3,16,0,4,0,<1,0,0,15,0
7/19/2020,25,3,14,0,4,0,<1,0,0,12,0
7/26/2020,27,3,13,0,4,0,<1,0,0,11,0
8/2/2020,38,3,12,0,4,0,<1,0,0,12,0
8/9/2020,54,3,11,0,4,0,<1,0,0,11,0
8/16/2020,84,2,11,0,4,0,<1,0,0,11,0
8/23/2020,98,2,11,0,3,0,<1,0,0,12,0
8/30/2020,100,2,11,0,4,0,<1,0,0,12,0
9/6/2020,82,3,11,0,3,0,<1,0,0,12,0
9/13/2020,78,2,11,0,3,0,<1,0,0,12,0
9/20/2020,70,2,11,0,3,0,<1,0,0,12,0
9/27/2020,64,2,11,0,3,0,<1,0,0,11,0
10/4/2020,59,3,9,0,3,0,<1,0,0,11,0
10/11/2020,44,2,9,0,3,0,<1,0,0,10,0
10/18/2020,45,2,8,0,2,0,<1,0,0,10,0
10/25/2020,40,2,8,0,2,0,<1,0,0,9,0
11/1/2020,32,2,6,0,2,0,<1,0,0,9,0
11/8/2020,37,2,7,0,2,0,<1,0,0,8,0
11/15/2020,37,2,6,0,2,0,<1,0,0,9,0
11/22/2020,25,2,6,0,2,0,<1,0,0,12,0
11/29/2020,37,2,6,0,2,0,<1,0,0,11,0
12/6/2020,29,2,6,0,2,0,<1,0,0,10,0
12/13/2020,26,2,6,0,2,0,<1,0,0,9,0
12/20/2020,10,2,6,0,2,0,<1,0,0,9,<1
12/27/2020,8,1,6,0,2,0,<1,0,0,11,0
1/3/2021,24,2,8,0,3,0,<1,0,0,14,0
1/10/2021,31,2,7,0,2,0,<1,0,0,12,0
1/17/2021,32,2,7,0,3,0,<1,0,0,12,0
1/24/2021,34,2,7,0,3,0,<1,0,0,12,0
1/31/2021,33,2,8,0,3,0,<1,0,0,12,0
2/7/2021,33,2,6,0,3,0,<1,0,0,11,0
2/14/2021,29,2,8,0,3,0,<1,0,0,12,0
2/21/2021,33,2,7,0,3,0,<1,0,0,12,0
2/28/2021,38,2,7,0,2,0,<1,0,0,12,0
3/7/2021,32,2,6,0,2,0,<1,0,0,11,0
3/14/2021,29,2,6,0,3,0,<1,0,0,12,0
3/21/2021,35,2,7,0,3,0,<1,0,0,11,0
3/28/2021,30,2,6,0,3,0,<1,0,0,12,0
4/4/2021,34,2,6,0,3,0,<1,0,0,12,0
4/11/2021,32,2,7,0,3,0,<1,0,0,11,0
4/18/2021,32,2,7,0,3,0,<1,0,0,11,0
4/25/2021,34,2,7,0,2,0,<1,0,0,12,0
5/2/2021,31,2,6,0,2,0,<1,0,0,12,0
5/9/2021,32,2,8,0,3,0,<1,0,0,12,0
5/16/2021,27,2,7,0,3,0,<1,0,0,13,0
5/23/2021,23,2,8,0,3,0,<1,0,0,14,0
5/30/2021,21,2,8,0,3,0,0,0,0,13,0
6/6/2021,22,3,8,0,3,0,<1,0,0,12,0
6/13/2021,19,2,8,0,3,0,<1,0,0,12,0
6/20/2021,19,2,7,0,3,0,<1,0,0,12,0
6/27/2021,17,2,8,0,3,0,<1,0,0,12,0
7/4/2021,16,2,8,0,2,0,<1,0,0,11,0
7/11/2021,17,2,8,0,3,0,<1,0,0,12,0
7/18/2021,16,2,7,0,3,0,<1,0,0,12,0
7/25/2021,16,2,7,0,2,0,<1,0,0,12,0
8/1/2021,19,2,6,0,2,0,<1,0,0,10,0
8/8/2021,22,2,6,0,2,<1,<1,0,0,13,0
8/15/2021,29,2,6,0,2,0,<1,0,0,13,0
8/22/2021,56,2,7,0,2,0,<1,0,0,11,0
8/29/2021,47,2,6,0,2,0,<1,0,0,10,0
9/5/2021,42,2,6,0,2,0,<1,0,0,10,0
9/12/2021,43,2,7,0,2,0,<1,0,0,10,0
9/19/2021,43,2,6,0,2,0,<1,0,0,10,0
9/26/2021,43,2,6,0,2,0,<1,0,0,10,0
10/3/2021,37,2,6,0,2,0,<1,0,0,9,0
10/10/2021,35,2,5,0,2,0,<1,0,0,9,0
10/17/2021,36,2,6,0,2,0,<1,0,0,10,0
10/24/2021,30,2,5,0,2,0,<1,0,0,9,0
10/31/2021,31,2,5,0,2,0,<1,0,0,8,0
11/7/2021,30,2,5,0,2,0,<1,0,0,9,0
11/14/2021,32,2,5,0,2,0,<1,0,0,10,0
11/21/2021,23,2,5,0,2,0,<1,0,0,10,0
11/28/2021,32,2,6,0,2,0,<1,0,0,10,0
12/5/2021,33,2,6,0,2,0,<1,0,0,9,0
12/12/2021,25,2,6,0,2,0,0,0,0,9,0
12/19/2021,12,2,6,0,2,0,<1,0,0,9,0
12/26/2021,7,1,6,0,2,0,<1,0,0,10,0
1/2/2022,24,2,10,0,3,0,<1,0,0,17,0
1/9/2022,30,2,9,0,3,0,<1,0,0,15,0
1/16/2022,31,3,9,0,3,0,<1,0,0,14,0
1/23/2022,31,3,10,0,3,0,<1,0,0,14,0
1/30/2022,32,2,9,0,3,0,<1,0,0,16,0
2/6/2022,31,3,9,0,3,0,<1,0,0,15,0
2/13/2022,30,3,9,0,3,0,<1,0,0,15,0
2/20/2022,28,3,9,0,2,0,<1,0,0,14,0
2/27/2022,33,2,9,0,2,0,<1,0,0,13,0
3/6/2022,32,3,10,0,2,0,<1,0,0,14,0
3/13/2022,26,2,9,0,2,0,<1,0,0,13,0
3/20/2022,32,3,9,0,3,0,<1,0,0,14,0
3/27/2022,40,3,9,0,2,0,<1,0,0,13,0
4/3/2022,42,3,9,0,2,0,<1,0,0,13,0
4/10/2022,38,2,8,0,2,0,<1,0,0,12,0
4/17/2022,41,2,9,0,2,0,<1,0,0,13,0
4/24/2022,41,3,8,0,2,<1,<1,0,0,12,0
5/1/2022,39,2,9,0,2,0,<1,0,0,12,0
5/8/2022,38,2,9,0,3,0,<1,0,0,13,0
5/15/2022,32,3,8,0,2,0,<1,0,0,14,0
5/22/2022,29,2,9,0,2,0,<1,0,0,16,0
5/29/2022,28,2,8,0,2,0,<1,0,0,14,0
6/5/2022,26,2,9,0,3,0,<1,0,0,14,0
6/12/2022,24,2,9,0,2,0,<1,0,0,14,0
6/19/2022,23,3,10,0,3,0,<1,0,0,16,0
6/26/2022,21,3,9,0,3,0,<1,0,0,15,0
7/3/2022,21,3,9,0,2,0,<1,0,0,16,0
7/10/2022,21,3,10,0,2,0,<1,0,0,15,0
7/17/2022,22,3,10,0,2,0,<1,0,0,16,0
7/24/2022,20,3,10,0,3,0,<1,0,0,16,0
7/31/2022,25,3,10,0,2,0,<1,0,0,16,0
8/7/2022,26,2,10,0,2,0,<1,0,<1,15,0
8/14/2022,41,3,10,0,2,0,<1,0,0,15,0
8/21/2022,67,3,11,0,2,0,<1,0,0,16,0
8/28/2022,62,3,10,0,3,0,<1,0,0,16,0
9/4/2022,56,3,9,0,2,0,<1,0,0,14,0
9/11/2022,57,3,10,0,2,0,<1,0,0,15,0
9/18/2022,56,3,9,0,2,0,<1,0,<1,15,0
9/25/2022,52,3,10,0,2,0,<1,0,0,13,0
10/2/2022,50,3,9,0,2,0,<1,0,0,13,<1
10/9/2022,47,3,10,0,2,0,<1,0,0,14,0
10/16/2022,47,3,9,0,2,0,<1,0,0,13,0
10/23/2022,48,3,9,0,2,0,<1,0,0,13,0
10/30/2022,44,3,9,0,2,0,<1,0,0,13,0
11/6/2022,42,3,8,0,2,0,<1,0,0,13,0
11/13/2022,41,3,9,0,2,0,<1,0,0,14,0
11/20/2022,25,2,8,0,2,0,<1,0,0,15,0
11/27/2022,38,3,7,0,2,0,<1,0,0,14,0
12/4/2022,38,3,8,0,2,0,<1,0,0,13,0
12/11/2022,30,3,9,0,2,0,<1,0,0,14,0
12/18/2022,18,2,8,0,2,0,<1,0,0,13,0
12/25/2022,10,2,9,0,2,0,<1,0,0,15,0
1/1/2023,20,3,10,0,2,0,<1,0,0,18,0
1/8/2023,35,4,11,0,2,0,<1,0,0,16,0
1/15/2023,37,4,10,0,2,0,<1,0,0,16,0
1/22/2023,42,4,10,0,3,0,<1,0,0,17,0
1/29/2023,39,4,11,0,3,0,<1,0,0,16,0
2/5/2023,37,3,10,0,3,0,<1,0,0,16,0
2/12/2023,39,3,10,0,2,0,<1,0,0,15,0
2/19/2023,37,4,10,0,3,0,<1,0,0,16,0
2/26/2023,40,3,9,0,2,0,<1,0,0,15,0
3/5/2023,40,3,9,0,3,0,<1,0,0,15,0
3/12/2023,34,4,9,0,2,0,<1,0,0,15,0
3/19/2023,38,3,9,0,2,0,<1,0,0,14,0
3/26/2023,37,4,10,0,2,0,<1,0,0,15,0
4/2/2023,38,4,9,0,2,0,<1,0,0,15,0
4/9/2023,39,3,9,0,2,0,<1,0,0,14,0
4/16/2023,43,4,9,0,2,0,<1,0,0,13,0
4/23/2023,41,3,9,0,2,0,<1,0,0,14,0
4/30/2023,38,3,9,0,2,0,<1,0,0,13,0
5/7/2023,35,3,9,0,3,0,<1,0,0,14,0
5/14/2023,30,4,10,0,3,0,<1,0,0,14,0
5/21/2023,28,4,10,0,2,0,<1,0,0,15,0
5/28/2023,25,4,10,0,2,0,<1,0,0,15,0
6/4/2023,25,4,10,0,2,0,<1,0,0,14,0
6/11/2023,24,4,11,0,3,0,<1,0,0,15,0
6/18/2023,22,4,10,0,3,0,0,0,0,14,0
6/25/2023,19,4,11,0,3,0,<1,0,0,15,0
7/2/2023,20,4,12,0,2,0,<1,0,0,15,0
7/9/2023,21,4,11,0,3,0,<1,0,0,16,0
7/16/2023,19,4,11,0,3,0,0,0,0,15,0
7/23/2023,17,4,11,0,3,0,<1,0,0,16,0
7/30/2023,19,4,11,0,3,0,0,0,0,16,0
8/6/2023,23,4,11,0,3,0,<1,0,0,16,0
8/13/2023,31,4,11,0,3,0,<1,0,0,16,0
8/20/2023,55,4,11,0,3,0,<1,0,0,15,0
8/27/2023,53,4,11,0,3,0,<1,0,0,15,0
9/3/2023,49,4,11,0,3,0,<1,0,0,13,0
9/10/2023,49,4,10,0,2,0,<1,0,0,13,0
9/17/2023,47,4,11,0,3,0,<1,0,0,14,0
9/24/2023,44,3,10,0,2,0,<1,0,0,13,0
10/1/2023,47,3,10,0,2,0,<1,0,0,12,0
10/8/2023,43,3,8,0,2,0,<1,0,0,12,0
10/15/2023,44,3,9,0,2,0,<1,0,0,11,0
10/22/2023,40,3,8,0,2,0,<1,0,0,13,0
10/29/2023,36,3,9,0,2,0,<1,0,0,12,0
11/5/2023,38,3,8,0,2,0,0,0,0,12,0
11/12/2023,36,3,8,0,2,0,<1,0,0,11,0
11/19/2023,26,3,8,0,2,0,0,0,0,13,0
11/26/2023,36,3,9,0,2,0,<1,0,0,12,0
12/3/2023,36,3,9,0,2,0,<1,0,0,12,0
12/10/2023,32,3,9,0,2,0,<1,0,0,12,0
12/17/2023,17,2,9,0,2,0,0,0,0,11,0
12/24/2023,7,2,9,0,2,0,<1,0,0,12,0
12/31/2023,14,3,10,0,2,0,<1,0,0,13,0
1/7/2024,30,3,11,0,2,0,<1,0,0,14,0
1/14/2024,31,3,11,0,2,0,<1,0,0,14,0
1/21/2024,34,4,11,0,3,0,<1,0,0,22,0
1/28/2024,35,3,11,0,3,0,<1,0,0,18,0
2/4/2024,35,3,11,0,2,0,<1,0,0,15,0
2/11/2024,33,3,11,0,3,0,<1,0,0,18,0
2/18/2024,34,3,10,0,3,0,<1,0,0,17,0
2/25/2024,36,3,11,0,3,0,<1,0,0,17,0
3/3/2024,36,3,10,0,2,0,<1,0,0,15,0
3/10/2024,31,3,9,0,3,0,<1,0,0,15,0
3/17/2024,33,3,9,0,3,0,<1,0,0,15,0
3/24/2024,34,3,10,0,3,0,<1,0,0,15,0
3/31/2024,37,3,9,0,2,0,<1,0,0,15,0
4/7/2024,39,3,9,0,2,0,<1,0,0,13,0
4/14/2024,36,3,9,0,2,0,<1,0,0,15,0
4/21/2024,36,3,9,0,2,0,<1,0,0,14,0
4/28/2024,37,3,10,<1,2,<1,<1,<1,0,15,0
