date,Nearpod,Thinglink,Buncee,EdPuzzle,EduCaixa,Kaltura,Pear Deck,Squigl,Trello
12/1/2019,15,0,0,10,0,0,0,0,6
12/8/2019,11,0,0,10,0,0,0,0,5
12/15/2019,8,0,0,7,0,0,0,0,3
12/22/2019,0,0,0,0,0,0,0,0,2
12/29/2019,0,0,0,2,0,0,0,0,4
1/5/2020,17,0,0,11,0,0,0,0,8
1/12/2020,14,0,0,10,0,0,1,0,6
1/19/2020,13,0,0,9,0,0,0,0,8
1/26/2020,16,0,0,9,0,0,0,0,6
2/2/2020,14,0,0,11,0,0,1,0,8
2/9/2020,14,0,0,10,0,0,2,0,8
2/16/2020,13,0,0,8,0,0,0,0,6
2/23/2020,15,1,0,10,0,0,0,0,6
3/1/2020,16,0,0,9,0,2,1,0,8
3/8/2020,13,0,0,11,0,4,0,0,10
3/15/2020,18,0,0,26,0,4,0,0,9
3/22/2020,22,0,0,26,0,4,0,0,9
3/29/2020,25,0,0,30,0,4,2,0,9
4/5/2020,22,0,0,24,0,3,2,0,7
4/12/2020,26,0,0,22,0,2,2,0,8
4/19/2020,25,0,0,26,0,3,2,0,8
4/26/2020,25,2,0,24,0,4,2,0,9
5/3/2020,25,0,0,21,0,2,3,0,8
5/10/2020,24,0,0,18,0,3,2,0,8
5/17/2020,24,0,0,13,0,1,1,0,6
5/24/2020,14,0,0,13,0,1,0,0,6
5/31/2020,17,0,0,11,0,2,0,0,8
6/7/2020,19,0,0,9,0,0,1,0,5
6/14/2020,24,0,0,6,0,0,2,0,7
6/21/2020,15,0,0,5,0,2,0,0,6
6/28/2020,14,0,1,3,0,2,0,0,6
7/5/2020,13,0,0,4,0,1,1,0,7
7/12/2020,14,0,0,7,0,2,2,0,7
7/19/2020,17,0,0,3,0,0,3,0,7
7/26/2020,19,0,0,8,0,0,3,0,7
8/2/2020,25,1,0,10,0,2,5,0,7
8/9/2020,45,1,1,15,0,2,6,0,6
8/16/2020,74,0,0,28,0,3,7,0,8
8/23/2020,83,0,0,30,0,6,8,0,10
8/30/2020,100,2,0,35,0,8,8,0,7
9/6/2020,91,0,0,35,0,4,7,0,9
9/13/2020,94,1,0,36,0,1,7,0,9
9/20/2020,84,0,0,31,0,4,4,0,9
9/27/2020,54,0,0,20,0,3,4,0,6
10/4/2020,46,0,0,16,0,2,4,0,7
10/11/2020,30,0,0,8,0,3,0,0,4
10/18/2020,34,0,0,8,0,3,2,0,6
10/25/2020,28,0,0,7,0,0,2,0,7
11/1/2020,24,0,0,8,0,2,0,0,4
11/8/2020,28,0,0,8,0,2,0,0,4
11/15/2020,29,0,0,8,0,2,0,0,6
11/22/2020,12,0,0,4,0,0,0,0,4
11/29/2020,25,0,0,8,0,0,2,0,4
12/6/2020,22,0,0,7,0,1,0,0,5
12/13/2020,15,0,0,4,0,0,0,0,4
12/20/2020,3,0,0,0,0,0,0,0,3
12/27/2020,4,0,0,0,0,0,0,0,3
1/3/2021,21,0,0,7,0,0,0,0,5
1/10/2021,24,0,0,6,0,0,0,0,5
1/17/2021,21,2,0,6,0,0,0,0,5
1/24/2021,22,0,0,8,0,2,0,0,5
1/31/2021,24,0,0,7,0,2,0,0,6
2/7/2021,22,0,0,7,0,2,0,0,5
2/14/2021,17,0,0,4,0,2,0,0,5
2/21/2021,23,1,0,7,0,0,2,0,6
2/28/2021,25,1,0,6,0,2,0,0,5
3/7/2021,20,0,0,5,0,0,0,0,5
3/14/2021,15,0,0,6,0,1,0,0,5
3/21/2021,19,0,0,6,0,0,0,0,4
3/28/2021,12,2,0,4,0,0,0,0,5
4/4/2021,15,0,0,5,0,2,0,0,9
4/11/2021,18,0,0,6,0,0,0,0,6
4/18/2021,19,0,0,5,0,1,0,0,5
4/25/2021,17,0,0,5,0,1,0,0,5
5/2/2021,14,0,0,6,0,2,0,0,6
5/9/2021,12,2,0,5,0,0,0,0,4
5/16/2021,13,0,0,4,0,0,0,0,5
5/23/2021,14,0,0,3,0,0,0,0,4
5/30/2021,10,0,0,3,0,0,0,0,5
6/6/2021,10,0,0,4,0,0,0,0,5
6/13/2021,9,0,0,1,0,0,0,0,4
6/20/2021,9,0,0,3,0,0,0,0,5
6/27/2021,7,0,0,0,0,0,0,0,4
7/4/2021,6,0,0,0,0,0,0,0,4
7/11/2021,6,0,0,0,0,0,0,0,4
7/18/2021,7,0,0,0,0,0,0,0,3
7/25/2021,6,0,0,0,0,0,0,0,3
8/1/2021,8,0,0,0,0,0,0,0,4
8/8/2021,11,0,0,2,0,0,0,0,5
8/15/2021,15,0,0,2,0,0,0,0,5
8/22/2021,18,0,0,6,0,0,0,0,6
8/29/2021,26,0,0,6,0,0,0,0,4
9/5/2021,26,0,0,6,0,1,0,0,5
9/12/2021,24,0,0,6,0,0,0,0,6
9/19/2021,25,0,0,7,0,0,0,0,4
9/26/2021,23,0,0,6,0,0,0,0,5
10/3/2021,22,0,0,5,0,0,0,0,6
10/10/2021,18,0,0,5,0,2,0,0,5
10/17/2021,20,2,0,7,0,0,0,0,5
10/24/2021,18,0,0,5,0,0,0,0,5
10/31/2021,21,0,0,6,0,0,0,0,2
11/7/2021,16,0,0,6,0,2,0,0,3
11/14/2021,16,0,0,6,0,0,0,0,5
11/21/2021,9,0,0,3,0,0,0,0,5
11/28/2021,17,0,0,6,0,0,0,0,4
12/5/2021,13,0,0,5,0,0,0,0,4
12/12/2021,12,0,0,4,0,0,0,0,5
12/19/2021,5,0,0,0,0,0,0,0,4
12/26/2021,0,0,0,0,0,0,0,0,3
1/2/2022,15,0,0,6,0,0,0,0,7
1/9/2022,17,0,0,6,0,2,0,0,6
1/16/2022,17,0,0,5,0,2,0,0,7
1/23/2022,13,0,0,6,0,2,0,0,9
1/30/2022,18,2,0,6,0,0,0,0,8
2/6/2022,17,0,0,9,0,2,0,0,10
2/13/2022,14,1,0,6,0,0,0,0,8
2/20/2022,11,0,0,5,0,0,0,0,9
2/27/2022,12,0,0,6,0,0,0,0,7
3/6/2022,11,0,0,6,0,2,0,0,8
3/13/2022,8,1,0,5,0,2,0,0,8
3/20/2022,15,0,0,6,0,2,0,0,9
3/27/2022,19,0,0,11,0,0,1,0,8
4/3/2022,20,0,0,14,0,1,0,0,8
4/10/2022,18,0,0,8,0,1,0,0,8
4/17/2022,17,1,0,11,0,3,0,0,7
4/24/2022,19,2,0,12,0,2,0,0,8
5/1/2022,16,0,0,11,0,2,1,0,7
5/8/2022,13,1,0,12,0,1,0,0,6
5/15/2022,13,0,0,12,0,0,0,0,7
5/22/2022,11,0,0,8,0,0,0,0,7
5/29/2022,8,0,0,6,0,1,0,0,8
6/5/2022,7,0,0,6,0,2,0,0,7
6/12/2022,7,0,0,4,0,0,0,0,8
6/19/2022,5,0,0,2,0,0,0,0,8
6/26/2022,5,0,0,2,0,1,0,0,7
7/3/2022,4,0,0,2,0,1,0,0,9
7/10/2022,4,0,0,2,0,2,0,0,6
7/17/2022,4,0,0,1,0,0,0,0,8
7/24/2022,5,0,0,2,0,0,0,0,6
7/31/2022,9,0,0,3,0,1,0,0,7
8/7/2022,15,0,0,6,0,1,0,0,7
8/14/2022,18,0,0,10,0,1,1,0,6
8/21/2022,24,0,0,14,0,1,0,0,8
8/28/2022,24,0,0,15,0,2,2,0,10
9/4/2022,19,0,0,14,0,2,1,0,7
9/11/2022,29,0,0,16,0,2,2,0,9
9/18/2022,24,0,0,15,0,3,1,0,8
9/25/2022,22,0,0,14,0,0,1,0,9
10/2/2022,19,0,0,12,0,1,0,0,8
10/9/2022,20,0,0,11,0,1,2,0,7
10/16/2022,21,1,0,13,0,2,2,0,8
10/23/2022,18,0,0,13,0,1,2,0,9
10/30/2022,19,0,0,12,0,1,2,0,7
11/6/2022,16,0,0,12,0,2,2,0,7
11/13/2022,17,0,0,11,0,1,2,0,8
11/20/2022,6,1,0,5,0,0,0,0,6
11/27/2022,17,0,0,11,0,2,3,0,7
12/4/2022,13,1,0,11,0,2,1,0,6
12/11/2022,10,0,0,9,0,1,2,0,6
12/18/2022,4,0,0,4,0,0,0,0,5
12/25/2022,1,0,0,0,0,0,0,0,3
1/1/2023,11,0,0,6,0,0,2,0,7
1/8/2023,16,1,0,12,0,0,2,0,8
1/15/2023,14,0,0,9,0,0,3,0,7
1/22/2023,15,0,0,13,0,2,3,0,8
1/29/2023,17,0,0,11,0,2,2,0,9
2/5/2023,16,0,2,13,0,2,2,0,7
2/12/2023,14,2,0,11,0,1,0,0,7
2/19/2023,12,1,0,9,0,0,1,0,7
2/26/2023,14,0,0,11,0,2,2,0,9
3/5/2023,14,0,0,10,0,2,0,0,8
3/12/2023,12,0,0,8,0,1,1,0,7
3/19/2023,13,0,0,10,0,2,2,0,8
3/26/2023,13,0,0,10,0,0,2,0,8
4/2/2023,8,0,0,7,0,0,0,0,8
4/9/2023,11,0,0,9,0,0,0,0,6
4/16/2023,13,0,0,11,0,1,1,0,8
4/23/2023,10,0,0,10,0,0,0,0,6
4/30/2023,10,0,0,9,0,1,1,0,8
5/7/2023,9,1,0,9,0,0,0,0,7
5/14/2023,9,0,0,8,0,0,0,0,7
5/21/2023,6,0,0,7,0,0,0,0,6
5/28/2023,5,0,0,5,0,0,0,0,8
6/4/2023,5,0,0,3,0,1,0,0,8
6/11/2023,4,0,1,3,0,0,0,0,7
6/18/2023,3,0,0,2,0,0,0,0,6
6/25/2023,3,0,0,1,0,1,0,0,7
7/2/2023,3,0,0,2,0,0,0,0,7
7/9/2023,4,0,0,2,0,0,0,0,6
7/16/2023,3,0,0,2,0,0,0,0,6
7/23/2023,3,0,0,2,0,0,0,0,5
7/30/2023,2,0,0,0,0,0,0,0,5
8/6/2023,6,0,0,3,0,0,0,0,6
8/13/2023,10,0,0,7,0,0,0,0,6
8/20/2023,14,0,0,8,0,2,0,0,6
8/27/2023,15,0,0,11,0,2,1,0,7
9/3/2023,15,0,0,9,0,0,2,0,8
9/10/2023,17,0,0,14,0,2,2,0,6
9/17/2023,16,0,0,14,0,0,0,0,5
9/24/2023,12,0,0,12,0,1,2,0,5
10/1/2023,16,0,0,10,0,0,0,0,6
10/8/2023,13,0,0,9,0,2,2,0,5
10/15/2023,12,0,0,12,0,0,0,0,6
10/22/2023,12,0,0,11,0,1,2,0,5
10/29/2023,10,0,0,8,0,2,0,0,6
11/5/2023,11,0,0,10,0,0,0,0,6
11/12/2023,10,0,0,10,0,2,0,0,5
11/19/2023,6,0,0,4,0,1,0,0,5
11/26/2023,9,0,0,11,0,3,0,0,5
12/3/2023,9,0,0,10,0,0,0,0,6
12/10/2023,7,0,0,9,0,1,0,0,6
12/17/2023,4,0,0,5,0,0,0,0,5
12/24/2023,0,0,0,0,0,0,0,0,3
12/31/2023,4,0,0,5,0,0,0,0,4
1/7/2024,12,0,0,10,0,0,0,0,6
1/14/2024,7,0,0,7,0,0,0,0,8
1/21/2024,11,0,0,12,0,2,1,0,8
1/28/2024,14,0,0,12,0,0,1,0,8
2/4/2024,10,0,0,11,0,1,0,0,8
2/11/2024,10,0,0,11,0,2,0,0,8
2/18/2024,9,0,0,9,0,0,2,0,9
2/25/2024,12,0,0,11,0,2,2,0,7
3/3/2024,10,0,0,11,0,1,0,0,8
3/10/2024,9,0,0,8,0,1,0,0,6
3/17/2024,10,0,0,9,0,0,0,0,8
3/24/2024,8,0,0,7,0,0,0,0,7
3/31/2024,7,0,0,6,0,1,0,0,8
4/7/2024,8,0,0,11,0,2,0,0,6
4/14/2024,11,0,0,9,0,1,0,0,8
4/21/2024,9,0,0,9,0,0,0,0,6
4/28/2024,7,<1,0,9,0,2,1,0,5
